MvSl-1064-A1-R4_A1g01138	Black	OldStrata	430224	432154	5.39300314	2.365433726	6.00E-22	7.44E-20	6.288702181	5.958948069	3.905284313	3.632908152	151	189	0.798941799	Up	456	570	0.8
MvSl-1064-A1-R4_A1g01253	Black	OldStrata	525538	526703	6.667842774	-0.854931713	4.91E-05	0.001193109	5.95783539	6.370665454	7.131438766	6.927422143	182	169	1.076923077	Down	549	510	1.076470588
MvSl-1064-A1-R4_A1g00591	Black	OldStrata	552007	553387	3.876731588	-4.272358924	9.78E-25	1.35E-22	1.027525212	0.060947975	4.380592681	5.139844794	443	446	0.993273543	Down	1332	1341	0.993288591
MvSl-1064-A1-R4_A1g00165	Black	OldStrata	621126	622892	7.334891887	-0.801032568	5.23E-05	0.001260356	6.838905348	6.920104979	7.656871623	7.703989183	889	904	0.98340708	Down	2670	2715	0.983425414
MvSl-1064-A1-R4_A1g00481	Black	OldStrata	641110	646152	3.113213048	1.429781111	1.96E-05	0.000511192	3.700822991	3.587610434	1.954027479	2.46962929	182	174	1.045977011	Up	549	525	1.045714286
MvSl-1064-A1-R4_A1g00254	Black	OldStrata	651956	657345	4.805555172	-1.92950017	2.21E-12	1.51E-10	3.782372513	3.272927838	5.291583489	5.630506344	738	746	0.989276139	Down	2217	2241	0.989290495
MvSl-1064-A1-R4_A1g00168	Black	OldStrata	718774	719371	3.593941903	-1.420237846	8.84E-05	0.002041729	3.081721694	2.266854998	3.793595981	4.41679926	534	530	1.00754717	Down	1605	1593	1.007532957
MvSl-1064-A1-R4_A1g00648	Black	OldStrata	724341	725782	6.475207556	0.646589946	0.000603139	0.011519531	6.784277302	6.739131388	6.086949815	6.144519081	502	505	0.994059406	Up	1509	1518	0.994071146
MvSl-1064-A1-R4_A1g00779	Black	OldStrata	782234	783980	7.820762219	0.677992555	0.001218585	0.020801494	8.145215707	8.094346283	7.433775815	7.450790475	1011	1002	1.008982036	Up	3036	3009	1.008973081
MvSl-1064-A1-R4_A1g00383	Black	OldStrata	893809	894012	2.973716818	1.958261326	1.19E-06	3.77E-05	3.887470093	3.307670096	1.120141884	2.114537831	162	171	0.947368421	Up	489	516	0.947674419
MvSl-1064-A1-R4_A1g01375	Black	OldStrata	901642	902941	4.90234178	0.846875736	0.000520405	0.010111233	5.246336701	5.277465751	4.579713548	4.235155183	390	427	0.913348946	Up	1173	1284	0.913551402
MvSl-1064-A1-R4_A1g01376	Black	OldStrata	903456	904193	5.367418152	0.760387737	0.001064882	0.018655082	5.83181894	5.546872142	4.774403219	5.084863863	840	913	0.920043812	Up	2523	2742	0.920131291
MvSl-1064-A1-R4_A1g00624	Purple	OldStrata	907140	907771	6.80534784	-0.708893366	0.000113263	0.002541427	6.408324205	6.408769044	7.180897076	7.049702941	256	257	0.996108949	Down	771	774	0.996124031
MvSl-1064-A1-R4_A1g01383	Black	OldStrata	914330	919259	5.723893005	1.918429351	1.22E-17	1.27E-15	6.540920131	6.204549133	4.483585726	4.453433268	678	674	1.005934718	Up	2037	2025	1.005925926
MvSl-1064-A1-R4_A1g00230	Purple	OldStrata	919803	924298	5.230187082	1.402672746	2.99E-09	1.32E-07	5.838983877	5.685414554	4.170964231	4.537736211	229	321	0.713395639	Up	690	966	0.714285714
MvSl-1064-A1-R4_A1g00752	Black	OldStrata	1010063	1012204	3.566412471	-5.754454425	7.24E-43	2.69E-40	-0.58227834	-1.382795818	4.627030059	4.46064975	410	599	0.684474124	Down	1233	1800	0.685
MvSl-1064-A1-R4_A1g00594	Black	OldStrata	1098507	1099824	5.062947197	-1.835910271	7.11E-13	5.02E-11	4.101193311	3.61560977	5.788490022	5.622485418	467	547	0.853747715	Down	1404	1644	0.854014599
MvSl-1064-A1-R4_A1g00745	Black	OldStrata	1111101	1112366	5.847982363	1.868153555	2.87E-17	2.95E-15	6.606064743	6.377222655	4.504006589	4.749937641	164	294	0.557823129	Up	495	885	0.559322034
MvSl-1064-A1-R4_A1g01135	Black	OldStrata	1112670	1116562	5.749579335	0.917019786	1.04E-05	0.000281899	6.122493514	6.147196214	5.311029848	5.121749635	265	384	0.690104167	Up	798	1155	0.690909091
MvSl-1064-A1-R4_A1g00635	Black	OldStrata	1119790	1125248	4.330083151	-1.412656761	5.32E-05	0.001272819	3.919366053	2.803275682	4.699649704	5.025272808	628	553	1.13562387	Down	1887	1662	1.135379061
MvSl-1064-A1-R4_A1g00269	Black	OldStrata	1139524	1144406	6.339085605	-4.216289271	2.19E-61	1.56E-58	3.359271189	2.691962548	7.291736728	7.236816721	1021	804	1.269900498	Down	3066	2415	1.269565217
MvSl-1064-A1-R4_A1g00763	Black	OldStrata	1144687	1148015	0.613957131	-4.029433889	3.44E-10	1.77E-08	-1.379573498	-2.757536787	1.010226695	1.91884176	1235	1234	1.000810373	Down	3708	3705	1.000809717
MvSl-1064-A1-R4_A1g01418	Black	OldStrata	1151741	1153580	3.681246951	3.351221404	4.10E-19	4.50E-17	4.636124231	4.419462633	0.619046564	1.667639135	904	937	0.964781217	Up	2715	2814	0.964818763
MvSl-1064-A1-R4_A1g01290	Black	OldStrata	1185421	1186806	5.58068721	1.448121849	1.49E-11	9.04E-10	6.188489281	6.064290424	4.765972884	4.594603927	419	449	0.933184855	Up	1260	1350	0.933333333
MvSl-1064-A1-R4_A1g01404	Black	OldStrata	1207176	1208666	2.637666471	-5.516663924	2.10E-31	4.08E-29	-1.56888085	-1.382795818	3.553488082	3.676947153	368	610	0.603278689	Down	1107	1833	0.603927987
MvSl-1064-A1-R4_A1g01137	Black	OldStrata	1213232	1215281	6.186903311	-0.592036629	0.001899747	0.030020219	5.904194595	5.817848823	6.447413705	6.458396105	595	597	0.996649916	Down	1788	1794	0.996655518
MvSl-1064-A1-R4_A1g01162	Blue	OldStrata	1294048	1294371	2.364437833	5.639008765	1.34E-25	2.01E-23	3.024213886	3.529926858	-2.271875237	-1.413437522	186	177	1.050847458	Up	561	534	1.050561798
MvSl-1064-A1-R4_A1g01163	Blue	OldStrata	1297181	1298512	4.000940946	3.617225151	5.65E-30	9.85E-28	4.932528437	4.816810011	1.222272509	1.393758781	227	226	1.004424779	Up	684	681	1.004405286
MvSl-1064-A1-R4_A1g01212	Black	OldStrata	1300472	1304579	3.681776849	-1.916759575	3.57E-07	1.23E-05	2.379931553	2.512986091	3.708169298	4.787726912	922	846	1.089834515	Down	2769	2541	1.089728453
MvSl-1064-A1-R4_A1g01007	Black	OldStrata	1400757	1402594	5.551066322	3.100208392	7.75E-33	1.66E-30	6.550408546	6.204549133	3.032075479	3.526894011	1968	1979	0.994441637	Up	5907	5940	0.994444444
MvSl-1064-A1-R4_A1g00312	Black	OldStrata	1486271	1487768	8.489494858	-3.601662265	1.65E-35	3.71E-33	5.878926465	5.665462493	9.613607804	9.090179052	159	185	0.859459459	Down	480	558	0.860215054
MvSl-1064-A1-R4_A1g01021	Black	OldStrata	1578575	1582088	0.474419236	4.38716508	9.01E-11	5.00E-09	1.644116926	0.882984303	-1.942237596	-2.683265469	246	304	0.809210526	Up	741	915	0.809836066
MvSl-1064-A1-R4_A1g00350	Black	OldStrata	1608112	1609203	4.674464515	0.902069081	0.000693619	0.012975377	4.77956537	5.282714221	4.225270795	4.079797675	824	907	0.908489526	Up	2475	2724	0.908590308
