genea1	chr	chrom	DE	a1expmean	a2expmean	dNa1	dNa1se	dSa1	dSa1se	dndsa1	genea2	dNa2	dNa2se	dSa2	dSa2se	dndsa2	dndiff	dsdiff	dndsdiff
MvSl-1064-A1-R4_A1g00004	bPAR	bPAR	NON	6.28338	6.37625	0.02064	0.00656	0.01054	0.00331	1.95824	MvSl-1064-A2-R4_A2g00004	0.00514	0.00365	0.00739	0.00745	0.695525	0.0155	0.00315	1.262715
MvSl-1064-A1-R4_A1g00005	bPAR	bPAR	NON	5.88354	5.94298	0	0	0.00487	0	0	MvSl-1064-A2-R4_A2g00005	0	0	0.00488	0	0	0	-1E-05	0
MvSl-1064-A1-R4_A1g00007	bPAR	bPAR	NON	7.80622	7.59888	0.00086	0.00086	0.0083	0.00417	0.103613	MvSl-1064-A2-R4_A2g00007	0.00086	0.00086	0.0083	0.00417	0.103613	0	0	0
MvSl-1064-A1-R4_A1g00008	bPAR	bPAR	NON	7.84283	7.40019	0.00555	0.00278	0.00006	0.0002	92.3461	MvSl-1064-A2-R4_A2g00008	0.00555	0.00278	0.00006	0.00014	92.3461	0	0	0
MvSl-1064-A1-R4_A1g00009	bPAR	bPAR	NON	7.72866	7.06925	0.00001	0	0.00554	0.00063	0.00180502	MvSl-1064-A2-R4_A2g00009	0.00001	0	0.00554	0	0.00180502	0	0	0
MvSl-1064-A1-R4_A1g00013	bPAR	bPAR	NON	6.12672	6.07561	0.00347	0.00347	0.02046	0.01455	0.169598	MvSl-1064-A2-R4_A2g00013	0.00347	0.00348	0.02046	0.01456	0.169598	0	0	0
MvSl-1064-A1-R4_A1g00017	bPAR	bPAR	NON	0.623864	1.49172	0.64147	0.09044	1.23608	0.3286	0.518955	MvSl-1064-A2-R4_A2g00017	0.08083	0.01815	0.13658	0.03708	0.591814	0.56064	1.0995	-0.072859
MvSl-1064-A1-R4_A1g00019	bPAR	bPAR	NON	1.70799	1.64166	0.77811	0.1213	3.28127	1.95552	0.237137	MvSl-1064-A2-R4_A2g00019	0.77811	0.1213	3.28127	1.95593	0.237137	0	0	0
MvSl-1064-A1-R4_A1g00023	bPAR	bPAR	NON	1.19889	0.757568	0.00765	0.00544	0.00008	0.00006	95.5056	MvSl-1064-A2-R4_A2g00023	0.00765	0.00542	0.00008	0	95.5056	0	0	0
MvSl-1064-A1-R4_A1g00025	bPAR	bPAR	NON	0.71417	0.959965	0.0058	0.0034	0.02211	0.01594	0.262324	MvSl-1064-A2-R4_A2g00025	0.0058	0.00352	0.02211	0.01675	0.262324	0	0	0
MvSl-1064-A1-R4_A1g00026	bPAR	bPAR	NON	5.50537	5.69505	0.00207	0.00208	0.00652	0.00658	0.31748	MvSl-1064-A2-R4_A2g00026	0.00207	0.00209	0.00652	0.00661	0.31748	0	0	0
MvSl-1064-A1-R4_A1g00027	bPAR	bPAR	NON	1.32336	1.45047	0.00438	0.00254	0.01113	0.00792	0.393527	MvSl-1064-A2-R4_A2g00027	0.00438	0.00254	0.01113	0.00791	0.393527	0	0	0
MvSl-1064-A1-R4_A1g00032	bPAR	bPAR	NON	9.36855	9.30688	0.00291	0.00292	0.00671	0.00676	0.433675	MvSl-1064-A2-R4_A2g00032	0.00291	0.0029	0.00671	0.00672	0.433675	0	0	0
MvSl-1064-A1-R4_A1g00035	bPAR	bPAR	NON	5.32011	4.89414	0.00606	0.00248	0.00813	0.00472	0.745378	MvSl-1064-A2-R4_A2g00035	0.00606	0.0025	0.00813	0.00477	0.745378	0	0	0
MvSl-1064-A1-R4_A1g00036	bPAR	bPAR	NON	5.33338	5.32985	0.00001	0	0.01353	0.00138	0.000739093	MvSl-1064-A2-R4_A2g00036	0.00001	0	0.01353	0.0015	0.000739093	0	0	0
MvSl-1064-A1-R4_A1g00037	bPAR	bPAR	NON	4.79601	4.65726	0	0	0.00001	0	0	MvSl-1064-A2-R4_A2g00037	0	0	0.00001	0	0	0	0	0
