genea1	dNa1	dNsea1	dSa1	dSsea1	dNdSa1	genea2	dNa2	dNsea2	dSa2	dSsea2	dNdSa2	chr	chrom	DE	a1mean	a2mean	ratio	log2ratio	dndiff	dsdiff	dndsdiff
MvSl-1064-A1-R4_A1g00004	2.99368	2.2295	0.4972	0.69762	6.02108	MvSl-1064-A2-R4_A2g00004	0.00514	0.00365	0.00739	0.00745	0.695525	bPAR	bPAR	NON	6.28338	6.37625	0.985435013	-0.021167363	2.98854	0.48981	5.325555
MvSl-1064-A1-R4_A1g00005	0	0.0011	0.00001	0	0	MvSl-1064-A2-R4_A2g00005	0	0	0.00488	0	0	bPAR	bPAR	NON	5.88354	5.94298	0.989998284	-0.014502071	0	-0.00487	0
MvSl-1064-A1-R4_A1g00007	0.52011	0.23077	56.04429	113.11032	0.00928034	MvSl-1064-A2-R4_A2g00007	0.00086	0.00086	0.0083	0.00417	0.103613	bPAR	bPAR	NON	7.80622	7.59888	1.0272856	0.038837327	0.51925	56.03599	-0.09433266
MvSl-1064-A1-R4_A1g00008	0.13275	0.06722	0.18866	0.18645	0.703647	MvSl-1064-A2-R4_A2g00008	0.00555	0.00278	0.00006	0.00014	92.3461	bPAR	bPAR	NON	7.84283	7.40019	1.05981468	0.083812017	0.1272	0.1886	-91.642453
MvSl-1064-A1-R4_A1g00009	1.9759	0.59579	63.6957	193.89435	0.0310209	MvSl-1064-A2-R4_A2g00009	0.00001	0	0.00554	0	0.00180502	bPAR	bPAR	NON	7.72866	7.06925	1.093278636	0.128661138	1.97589	63.69016	0.02921588
MvSl-1064-A1-R4_A1g00013	0.35316	0.25617	17.92485	110.95622	0.0197023	MvSl-1064-A2-R4_A2g00013	0.00347	0.00348	0.02046	0.01456	0.169598	bPAR	bPAR	NON	6.12672	6.07561	1.008412324	0.012085655	0.34969	17.90439	-0.1498957
MvSl-1064-A1-R4_A1g00017	13.53492	8.24579	0.13672	0.52483	98.9974	MvSl-1064-A2-R4_A2g00017	0.08083	0.01815	0.13658	0.03708	0.591814	bPAR	bPAR	NON	0.623864	1.49172	0.418217896	-1.257673297	13.45409	0.00014	98.405586
MvSl-1064-A1-R4_A1g00019	2.21495	2.52071	8.5432	18.22377	0.259265	MvSl-1064-A2-R4_A2g00019	0.77811	0.1213	3.28127	1.95593	0.237137	bPAR	bPAR	NON	1.70799	1.64166	1.040404225	0.057144163	1.43684	5.26193	0.022128
MvSl-1064-A1-R4_A1g00023	0.52576	0.3238	21.38135	33.09208	0.0245897	MvSl-1064-A2-R4_A2g00023	0.00765	0.00542	0.00008	0	95.5056	bPAR	bPAR	NON	1.19889	0.757568	1.582551005	0.662251998	0.51811	21.38127	-95.4810103
MvSl-1064-A1-R4_A1g00025	1.15077	0.46287	6.06653	8.4597	0.189692	MvSl-1064-A2-R4_A2g00025	0.0058	0.00352	0.02211	0.01675	0.262324	bPAR	bPAR	NON	0.71417	0.959965	0.743954207	-0.426714274	1.14497	6.04442	-0.072632
