genea1	chr	chrom	DE	a1expmean	a2expmean	ratio	log2exp	dNa1	dNa1se	dSa1	dSa1se	dndsa1	genea2	dNa2	dNa2se	dSa2	dSa2se	dndsa2	dndiff	dsdiff	dndsdiff
MvSl-1064-A1-R4_MC10-1g09662	aAutosome	aAutosome	NON	6.02309	5.70245	1.056228463	0.078921925	0.7071	0.10389	2.16966	0.84567	0.325904	MvSl-1064-A2-R4_MC10g09929	0.7071	0.1039	2.16966	0.84618	0.325904	0	0	0.999999693
MvSl-1064-A1-R4_MC01-1g02425	aAutosome	aAutosome	NON	6.10434	6.39576	0.954435438	-0.067280483	0.66355	0.09471	2.15602	0.9639	0.307766	MvSl-1064-A2-R4_MC01g02707	0.66355	0.09471	2.15602	0.96243	0.307766	0	0	0.999999675
MvSl-1064-A1-R4_MC02g03664	aAutosome	aAutosome	NON	4.9393	4.12275	1.198059548	0.260699617	0.58558	0.07978	2.15064	1.15293	0.272282	MvSl-1064-A2-R4_MC02g03942	0.58558	0.07979	2.15064	1.15441	0.272282	0	0	0.999999633
MvSl-1064-A1-R4_MC15g12130	aAutosome	aAutosome	NON	6.67371	6.73988	0.990182318	-0.014233908	0.846	0.13316	2.13278	1.67758	0.396665	MvSl-1064-A2-R4_MC15g12380	0.846	0.13316	2.13278	1.67877	0.396665	0	0	0.999999748
MvSl-1064-A1-R4_MC12g11024	aAutosome	aAutosome	NON	5.88046	5.92409	0.992635156	-0.010664544	0.75006	0.11264	2.12666	0.9735	0.352694	MvSl-1064-A2-R4_MC12g11287	0.75006	0.11261	2.12666	0.97245	0.352694	0	0	0.999999716
MvSl-1064-A1-R4_MC06g07240	aAutosome	aAutosome	NON	5.8764	5.60278	1.04883647	0.068789757	0.52591	0.0708	2.11563	0.69706	0.248583	MvSl-1064-A2-R4_MC06-2g07505	0.52591	0.07081	2.11563	0.69721	0.248583	0	0	0.999999598
MvSl-1064-A1-R4_MC05-3g06582	aAutosome	aAutosome	NON	3.91457	4.13174	0.947438609	-0.07789563	0.76762	0.10608	2.11521	0.7203	0.362905	MvSl-1064-A2-R4_MC05g06845	0.76762	0.1061	2.11521	0.72038	0.362905	0	0	0.999999724
MvSl-1064-A1-R4_MC11g10350	aAutosome	aAutosome	NON	7.09914	6.81774	1.041274675	0.058350683	0.79915	0.1184	2.10609	0.94464	0.379447	MvSl-1064-A2-R4_MC11g10611	0.79915	0.11845	2.1061	0.9463	0.379445	0	-1.00E-05	1.000005007
MvSl-1064-A1-R4_MC08g08637	aAutosome	aAutosome	NON	2.5385	2.2199	1.143519978	0.193481571	0.70335	0.08025	2.10346	0.78036	0.334378	MvSl-1064-A2-R4_MC08-1g08902	0.70335	0.08024	2.10346	0.77995	0.334378	0	0	0.999999701
MvSl-1064-A1-R4_MC12g10767	aAutosome	aAutosome	NON	7.26004	7.25612	1.000540234	0.000779182	0.74534	0.10609	2.0896	1.01915	0.35669	MvSl-1064-A2-R4_MC12g11030	0.74534	0.10609	2.0896	1.01651	0.35669	0	0	0.99999972
MvSl-1064-A1-R4_MC09-2g09192	aAutosome	aAutosome	NON	5.45289	5.60499	0.972863466	-0.039690747	0.87088	0.12598	2.08049	0.94073	0.418594	MvSl-1064-A2-R4_MC09g09467	0.87088	0.12598	2.08049	0.94011	0.418594	0	0	0.999999761
MvSl-1064-A1-R4_MC14g11962	aAutosome	aAutosome	Down	3.38833	4.39534	0.770891444	-0.375400379	0.8495	0.11346	2.0803	1.03384	0.408355	MvSl-1064-A2-R4_MC14g12223	0.8495	0.11351	2.0803	1.03397	0.408355	0	0	0.999999755
MvSl-1064-A1-R4_MC01-1g02780	aAutosome	aAutosome	NON	3.39477	3.72356	0.911700093	-0.133368771	0.80944	0.13151	2.07645	0.83984	0.389819	MvSl-1064-A2-R4_MC01g03062	0.80944	0.13151	2.07645	0.84022	0.389819	0	0	0.999999743
MvSl-1064-A1-R4_MC08g08404	aAutosome	aAutosome	NON	5.19141	5.10689	1.01655019	0.023681447	0.99705	0.13882	2.06591	0.7308	0.48262	MvSl-1064-A2-R4_MC08-1g08669	0.99705	0.13889	2.06591	0.73151	0.48262	0	0	0.999999793
MvSl-1064-A1-R4_MC01-2g03079	aAutosome	aAutosome	NON	4.75739	4.80623	0.989838189	-0.014735391	0.54105	0.07472	1.08919	0.29962	0.496745	MvSl-1064-A2-R4_MC01g03361	1.02031	0.17744	2.04976	0.87284	0.49777	-0.47926	-0.96057	0.997940616
MvSl-1064-A1-R4_MC08g08782	aAutosome	aAutosome	NON	5.42614	5.47918	0.990319719	-0.014033728	0.84476	0.1247	2.04312	1.30452	0.413466	MvSl-1064-A2-R4_MC08-2g09063	0.84476	0.12464	2.04312	1.30939	0.413466	0	0	0.999999758
MvSl-1064-A1-R4_MC15g12094	aAutosome	aAutosome	NON	7.7419	7.66739	1.009717779	0.013952109	0.70014	0.09549	2.0358	0.78072	0.343914	MvSl-1064-A2-R4_MC15g12343	0.70014	0.09548	2.0358	0.78083	0.343914	0	0	0.999999709
MvSl-1064-A1-R4_MC05-3g06802	aAutosome	aAutosome	NON	-0.278137	0.223594	-1.243937673	0.314914201	0.76828	0.13524	2.0324	0.98822	0.378016	MvSl-1064-A2-R4_MC05g07066	0.76828	0.13527	2.0324	0.98875	0.378016	0	0	0.999999735
MvSl-1064-A1-R4_MC04-1g05328	aAutosome	aAutosome	NON	5.46662	5.38891	1.014420356	0.020655601	0.85999	0.16519	0.93672	0.38322	0.918086	MvSl-1064-A2-R4_MC04-1g05605	0.70948	0.09733	2.03111	0.77545	0.349307	0.15051	-1.09439	2.628306152
MvSl-1064-A1-R4_MC03g04483	aAutosome	aAutosome	NON	5.02702	5.01712	1.001973244	0.002843984	0.81708	0.09296	1.9957	0.64046	0.40942	MvSl-1064-A2-R4_MC03g04761	0.81708	0.09295	1.9957	0.63992	0.40942	0	0	0.999999756
MvSl-1064-A1-R4_MC08g08540	aAutosome	aAutosome	NON	5.14669	5.13183	1.002895653	0.004171508	0.98042	0.14107	1.9886	0.51934	0.49302	MvSl-1064-A2-R4_MC08-1g08805	0.98042	0.14074	1.9886	0.51897	0.49302	0	0	0.999999797
MvSl-1064-A1-R4_MC03g04886	aAutosome	aAutosome	NON	3.02596	2.84102	1.065096339	0.090983929	0.65634	0.09424	1.97013	0.60122	0.333146	MvSl-1064-A2-R4_MC03g05164	0.65634	0.09422	1.97013	0.60111	0.333146	0	0	0.9999997
MvSl-1064-A1-R4_MC02g03670	aAutosome	aAutosome	NON	6.2239	6.05069	1.028626487	0.040719209	0.86952	0.12421	1.95204	0.68912	0.445442	MvSl-1064-A2-R4_MC02g03948	0.86952	0.12429	1.95204	0.68975	0.445442	0	0	0.999999776
MvSl-1064-A1-R4_MC07g07723	aAutosome	aAutosome	NON	6.38247	6.54775	0.974757741	-0.036884388	0.58958	0.09146	1.93663	1.33897	0.304436	MvSl-1064-A2-R4_MC07g07988	0.58958	0.09146	1.93663	1.3353	0.304436	0	0	0.999999672
MvSl-1064-A1-R4_MC08g08722	aAutosome	aAutosome	NON	3.89882	4.13544	0.942782388	-0.085003286	0.68725	0.10875	1.93642	1.16463	0.354907	MvSl-1064-A2-R4_MC08-1g08987	0.68725	0.10874	1.93642	1.16636	0.354907	0	0	0.999999718
MvSl-1064-A1-R4_MC06g07534	aAutosome	aAutosome	NON	5.96252	5.86382	1.016832031	0.024081382	1.11989	0.2012	1.92279	1.05568	0.58243	MvSl-1064-A2-R4_MC06-2g07799	1.11989	0.20144	1.92279	1.06029	0.58243	0	0	0.999999828
MvSl-1064-A1-R4_MC03g05137	aAutosome	aAutosome	NON	3.46829	3.62316	0.957255545	-0.063023983	0.66027	0.07585	1.92251	0.55434	0.343442	MvSl-1064-A2-R4_MC03g05414	0.66027	0.07585	1.92251	0.554	0.343442	0	0	0.999999709
MvSl-1064-A1-R4_MC04-1g05523	aAutosome	aAutosome	NON	7.2986	7.02736	1.03859771	0.054636949	0.7485	0.11573	1.92212	0.83138	0.389414	MvSl-1064-A2-R4_MC04-1g05799	0.7485	0.11573	1.92212	0.83045	0.389414	0	0	0.999999743
MvSl-1064-A1-R4_MC09-2g09484	aAutosome	aAutosome	NON	7.26687	7.14582	1.016939973	0.024234524	0.93941	0.16464	1.91639	0.79276	0.490198	MvSl-1064-A2-R4_MC09g09758	0.93941	0.16459	1.91639	0.79257	0.490198	0	0	0.999999796
MvSl-1064-A1-R4_MC02g03392	aAutosome	aAutosome	NON	1.77617	1.85629	0.956838641	-0.063652443	0.7879	0.09696	1.91215	0.67329	0.412049	MvSl-1064-A2-R4_MC02g03672	0.7879	0.09696	1.91215	0.67362	0.412049	0	0	0.999999757
MvSl-1064-A1-R4_MC01-1g02311	aAutosome	aAutosome	NON	7.43734	7.03259	1.057553476	0.080730616	0.77759	0.08892	1.89699	0.60879	0.409907	MvSl-1064-A2-R4_MC01g02593	0.77759	0.08891	1.89699	0.60722	0.409907	0	0	0.999999756
MvSl-1064-A1-R4_MC01-1g02168	aAutosome	aAutosome	NON	5.84798	5.84399	1.000682753	0.000984668	0.88285	0.12868	1.92739	0.7491	0.458055	MvSl-1064-A2-R4_MC01g02449	0.88537	0.13004	1.89598	0.75546	0.466972	-0.00252	0.03141	0.980904427
MvSl-1064-A1-R4_MC01-2g02979	aAutosome	aAutosome	NON	6.54844	6.44769	1.015625751	0.02236888	0.87632	0.13677	1.8825	0.75673	0.465509	MvSl-1064-A2-R4_MC01g03261	0.87632	0.13679	1.8825	0.75596	0.465509	0	0	0.999999785
MvSl-1064-A1-R4_MC11g10437	aAutosome	aAutosome	NON	9.87902	10.2317	0.965530655	-0.050606031	0.87586	0.12616	1.87515	0.80981	0.467088	MvSl-1064-A2-R4_MC11g10699	0.87586	0.12602	1.87515	0.80745	0.467088	0	0	0.999999786
MvSl-1064-A1-R4_MC01-1g01895	aAutosome	aAutosome	NON	6.12717	6.34049	0.966355913	-0.049373458	0.74612	0.11065	1.87247	0.8334	0.398468	MvSl-1064-A2-R4_MC01g02176	0.74612	0.11066	1.87247	0.83338	0.398468	0	0	0.999999749
MvSl-1064-A1-R4_MC01-1g02576	aAutosome	aAutosome	NON	5.95261	6.09917	0.975970501	-0.035090552	0.71503	0.10386	1.869	0.97832	0.382574	MvSl-1064-A2-R4_MC01g02858	0.71503	0.10382	1.869	0.97821	0.382574	0	0	0.999999739
