genea1	dN	dNse	dS	dSse	dNdS	chr	chrom	DE	expmean	haploid
MvSl-1064-A1-R4_MC01-2g02965	21.54803	81.63262	0.94262	3.42983	22.8597	aAutosome	aAutosome	NON	5.55092	A1
MvSl-1064-A1-R4_MC09-2g09461	23.09716	25.23407	1.01958	1.11479	22.6536	aAutosome	aAutosome	NON	5.45576	A1
MvSl-1064-A1-R4_MC01-1g01840	24.87941	31.08725	1.10375	1.41341	22.5408	aAutosome	aAutosome	NON	3.95641	A1
MvSl-1064-A1-R4_MC11g10162	23.06276	52.34858	1.0246	2.1002	22.509	aAutosome	aAutosome	NON	4.55324	A1
MvSl-1064-A1-R4_MC15g12018	6.61909	5.69698	0.29557	0.51085	22.3943	aAutosome	aAutosome	NON	8.37137	A1
MvSl-1064-A1-R4_MC01-1g02358	21.94495	44.71669	0.99734	1.72096	22.0035	aAutosome	aAutosome	NON	8.80065	A1
MvSl-1064-A1-R4_MC11g10239	24.40398	78.61917	1.11018	1.52765	21.982	aAutosome	aAutosome	NON	4.60607	A1
MvSl-1064-A1-R4_MC03g04753	25.03885	30.76313	1.14999	1.23614	21.7731	aAutosome	aAutosome	NON	6.00787	A1
MvSl-1064-A1-R4_MC06g07262	21.15818	69.68084	0.97429	1.56623	21.7165	aAutosome	aAutosome	NON	6.41732	A1
MvSl-1064-A1-R4_MC13g11605	24.29445	63.88651	1.12169	1.82761	21.6588	aAutosome	aAutosome	NON	8.09266	A1
MvSl-1064-A1-R4_MC02g03379	24.40578	34.45268	1.12958	2.89695	21.6061	aAutosome	aAutosome	NON	2.03391	A1
MvSl-1064-A1-R4_MC06g07152	24.21554	45.14767	1.12719	1.9158	21.4831	aAutosome	aAutosome	NON	6.45098	A1
MvSl-1064-A1-R4_MC09-2g09069	13.85486	39.02706	0.65406	1.46495	21.1829	aAutosome	aAutosome	NON	6.02962	A1
MvSl-1064-A1-R4_MC06g07133	25.84785	37.28952	1.22772	1.9504	21.0535	aAutosome	aAutosome	NON	4.12727	A1
MvSl-1064-A1-R4_MC01-2g03152	24.9016	34.39926	1.1848	1.56779	21.0176	aAutosome	aAutosome	NON	7.37329	A1
MvSl-1064-A1-R4_MC07g08129	24.01605	28.4176	1.14615	0.84253	20.9537	aAutosome	aAutosome	NON	7.612	A1
MvSl-1064-A1-R4_A1g00040	22.74871	34.2758	1.08765	1.20933	20.9155	bPAR	bPAR	NON	1.1263	A1
MvSl-1064-A1-R4_MC04-1g05573	25.33688	0	1.22811	0	20.6308	aAutosome	aAutosome	NON	5.89253	A1
MvSl-1064-A1-R4_MC01-1g01861	24.31634	32.63571	1.19645	1.68718	20.3237	aAutosome	aAutosome	NON	8.41234	A1
MvSl-1064-A1-R4_MC08g08767	3.44749	2.90578	0.17202	0.48786	20.0412	aAutosome	aAutosome	NON	5.61543	A1
MvSl-1064-A1-R4_MC03g04449	20.46826	30.8597	1.02705	2.54418	19.9292	aAutosome	aAutosome	NON	3.94992	A1
MvSl-1064-A1-R4_MC08g08674	25.74733	80.99155	1.32133	3.26562	19.4859	aAutosome	aAutosome	NON	6.15721	A1
MvSl-1064-A1-R4_MC07g07557	23.08154	64.80078	1.22475	4.0173	18.8459	aAutosome	aAutosome	NON	5.63418	A1
MvSl-1064-A1-R4_MC09-2g09324	6.4794	6.40166	0.34457	0.34086	18.8043	aAutosome	aAutosome	NON	7.35959	A1
MvSl-1064-A1-R4_MC02g03989	23.98472	22.5804	1.28043	1.1148	18.7318	aAutosome	aAutosome	NON	5.38792	A1
MvSl-1064-A1-R4_MC12g11165	4.529	3.39254	0.24469	0.25254	18.5091	aAutosome	aAutosome	NON	5.82199	A1
MvSl-1064-A1-R4_MC03g04843	24.53715	36.42826	1.34615	1.66514	18.2276	aAutosome	aAutosome	NON	5.37538	A1
MvSl-1064-A1-R4_MC05-2g06416	2.9816	3.27358	0.16461	1.18881	18.1131	aAutosome	aAutosome	NON	6.61457	A1
MvSl-1064-A1-R4_MC06g06924	20.89678	2107.0948	1.15624	116.03357	18.073	aAutosome	aAutosome	NON	7.33411	A1
MvSl-1064-A1-R4_MC05-1g06218	24.38061	28.53755	1.34948	1.61913	18.0667	aAutosome	aAutosome	NON	6.61941	A1
MvSl-1064-A1-R4_MC01-1g02820	11.44962	26.21198	0.63867	0.7037	17.9273	aAutosome	aAutosome	NON	6.00513	A1
MvSl-1064-A1-R4_MC12g11257	13.22943	16.92025	0.7439	0.94297	17.7839	aAutosome	aAutosome	NON	5.72147	A1
MvSl-1064-A1-R4_MC10-2g09894	24.9945	80.19705	1.42641	3.18016	17.5227	aAutosome	aAutosome	NON	6.77137	A1
MvSl-1064-A1-R4_MC08g08584	19.97348	25.49084	1.1683	2.26154	17.0962	aAutosome	aAutosome	NON	6.71528	A1
MvSl-1064-A1-R4_MC01-1g01902	5.33939	5.09443	0.31465	0.39906	16.9693	aAutosome	aAutosome	NON	6.59174	A1
MvSl-1064-A1-R4_MC10-2g09883	18.47332	26.47449	1.08935	1.01221	16.9581	aAutosome	aAutosome	NON	6.95217	A1
MvSl-1064-A1-R4_MC09-2g09506	24.10459	51.24146	1.43306	2.16339	16.8204	aAutosome	aAutosome	Down	2.82949	A1
MvSl-1064-A1-R4_MC12g10837	26.65577	70.89608	1.58965	3.91453	16.7683	aAutosome	aAutosome	NON	7.33034	A1
MvSl-1064-A1-R4_MC10-2g10128	22.89933	43.28869	1.36764	1.93404	16.7437	aAutosome	aAutosome	NON	5.38034	A1
MvSl-1064-A1-R4_MC12g11231	21.91322	27.07826	1.3197	2.05466	16.6047	aAutosome	aAutosome	NON	0.519302	A1
MvSl-1064-A1-R4_MC04-1g05884	28.322	47.88701	1.71998	2.16901	16.4665	aAutosome	aAutosome	NON	6.88185	A1
MvSl-1064-A1-R4_MC04-1g05550	20.26789	31.98355	1.23749	2.02447	16.3782	aAutosome	aAutosome	NON	4.33372	A1
MvSl-1064-A1-R4_MC02g03710	22.47878	37.95159	1.39951	2.50294	16.0619	aAutosome	aAutosome	NON	4.24332	A1
MvSl-1064-A1-R4_MC05-2g06324	24.4541	32.65441	1.53662	2.61552	15.9142	aAutosome	aAutosome	NON	6.3674	A1
MvSl-1064-A1-R4_MC04-1g05782	15.04525	14.67617	0.95054	1.48137	15.8281	aAutosome	aAutosome	NON	6.64156	A1
MvSl-1064-A1-R4_MC12g11082	24.92295	45.47449	1.58653	1.86106	15.7091	aAutosome	aAutosome	NON	6.01644	A1
MvSl-1064-A1-R4_MC01-1g02501	2.57359	1.15047	0.16415	0.40252	15.6783	aAutosome	aAutosome	NON	9.42567	A1
MvSl-1064-A1-R4_MC14g11892	22.02836	37.21301	1.42091	2.0914	15.503	aAutosome	aAutosome	NON	4.97542	A1
MvSl-1064-A1-R4_MC01-2g03017	15.10963	30.64841	0.97705	1.41799	15.4645	aAutosome	aAutosome	NON	8.32442	A1
MvSl-1064-A1-R4_MC04-1g05468	22.06882	44.66086	1.43333	1.36906	15.3969	aAutosome	aAutosome	NON	2.56855	A1
MvSl-1064-A1-R4_MC01-1g02292	7.20101	14.57547	0.46807	0.6465	15.3845	aAutosome	aAutosome	NON	5.17629	A1
MvSl-1064-A1-R4_MC05-2g06333	22.0523	32.95095	1.44368	1.46048	15.2751	aAutosome	aAutosome	NON	2.79691	A1
MvSl-1064-A1-R4_MC02g03246	7.92732	7.16232	0.51922	1.21193	15.2677	aAutosome	aAutosome	NON	9.50669	A1
MvSl-1064-A1-R4_MC03g04312	20.87856	38.27314	1.3868	1.73857	15.0552	aAutosome	aAutosome	NON	7.22372	A1
MvSl-1064-A1-R4_MC01-1g01849	12.52166	23.56996	0.83492	1.45731	14.9974	aAutosome	aAutosome	NON	7.53364	A1
MvSl-1064-A1-R4_MC12g11016	23.22399	28.45946	1.54906	1.6663	14.9923	aAutosome	aAutosome	NON	3.06234	A1
MvSl-1064-A1-R4_MC02g03488	10.02398	10.36988	0.67414	1.2584	14.8693	aAutosome	aAutosome	NON	6.13827	A1
MvSl-1064-A1-R4_MC03g04576	25.40032	42.59158	1.71216	2.09999	14.8352	aAutosome	aAutosome	NON	2.99707	A1
MvSl-1064-A1-R4_MC03g04837	7.93563	7.27196	0.53534	0.66302	14.8235	aAutosome	aAutosome	NON	6.15832	A1
MvSl-1064-A1-R4_MC11g10357	6.55748	6.44314	0.44265	0.88415	14.8141	aAutosome	aAutosome	NON	7.12679	A1
MvSl-1064-A1-R4_MC07g08236	23.18733	25.66637	1.56991	1.97884	14.7698	aAutosome	aAutosome	NON	7.46493	A1
MvSl-1064-A1-R4_MC02g03580	25.65902	189.42243	1.74161	3.41881	14.7329	aAutosome	aAutosome	NON	2.96552	A1
MvSl-1064-A1-R4_MC05-3g06623	23.8273	43.88448	1.62487	2.33917	14.6641	aAutosome	aAutosome	NON	6.40161	A1
MvSl-1064-A1-R4_MC04-1g05600	19.73743	23.26724	1.34843	1.64387	14.6373	aAutosome	aAutosome	NON	7.33469	A1
MvSl-1064-A1-R4_MC10-1g09750	28.55067	58.33872	1.9755	3.80028	14.4524	aAutosome	aAutosome	NON	5.3601	A1
MvSl-1064-A1-R4_MC10-1g09797	5.63251	17.05305	0.39039	1.52694	14.4279	aAutosome	aAutosome	NON	6.98583	A1
MvSl-1064-A1-R4_MC02g03355	6.71596	15.7103	0.46553	0.6923	14.4265	aAutosome	aAutosome	NON	5.9165	A1
MvSl-1064-A1-R4_MC06g07284	8.27973	9.58978	0.5779	0.91731	14.3273	aAutosome	aAutosome	NON	7.61321	A1
MvSl-1064-A1-R4_MC07g08131	9.52351	11.44761	0.6714	0.70202	14.1846	aAutosome	aAutosome	NON	8.33185	A1
MvSl-1064-A1-R4_MC06g07492	23.08949	33.68311	1.69218	2.63145	13.6448	aAutosome	aAutosome	NON	6.73083	A1
MvSl-1064-A1-R4_MC12g11223	21.14051	31.25415	1.553	1.99586	13.6127	aAutosome	aAutosome	NON	9.13931	A1
MvSl-1064-A1-R4_MC11g10579	22.46092	33.14534	1.65028	1.94191	13.6104	aAutosome	aAutosome	NON	7.27119	A1
