genea1	dN	dNse	dS	dSse	dNdS	chr	chrom	DE	expmean	haploid
MvSl-1064-A1-R4_A1g00004	2.99368	2.2295	0.4972	0.69762	6.02108	bPAR	bPAR	NON	6.28338	A1
MvSl-1064-A1-R4_A1g00005	0	0.0011	0.00001	0	0	bPAR	bPAR	NON	5.88354	A1
MvSl-1064-A1-R4_A1g00007	0.52011	0.23077	56.04429	113.11032	0.00928034	bPAR	bPAR	NON	7.80622	A1
MvSl-1064-A1-R4_A1g00008	0.13275	0.06722	0.18866	0.18645	0.703647	bPAR	bPAR	NON	7.84283	A1
MvSl-1064-A1-R4_A1g00009	1.9759	0.59579	63.6957	193.89435	0.0310209	bPAR	bPAR	NON	7.72866	A1
MvSl-1064-A1-R4_A1g00013	0.35316	0.25617	17.92485	110.95622	0.0197023	bPAR	bPAR	NON	6.12672	A1
MvSl-1064-A1-R4_A1g00017	13.53492	8.24579	0.13672	0.52483	98.9974	bPAR	bPAR	NON	0.623864	A1
MvSl-1064-A1-R4_A1g00019	2.21495	2.52071	8.5432	18.22377	0.259265	bPAR	bPAR	NON	1.70799	A1
MvSl-1064-A1-R4_A1g00023	0.52576	0.3238	21.38135	33.09208	0.0245897	bPAR	bPAR	NON	1.19889	A1
MvSl-1064-A1-R4_A1g00025	1.15077	0.46287	6.06653	8.4597	0.189692	bPAR	bPAR	NON	0.71417	A1
MvSl-1064-A1-R4_A1g00026	1.38924	0.55847	59.23456	308.54339	0.0234532	bPAR	bPAR	NON	5.50537	A1
MvSl-1064-A1-R4_A1g00027	0	0.00006	0.00001	0	0	bPAR	bPAR	NON	1.32336	A1
MvSl-1064-A1-R4_A1g00032	23.7373	29.54913	0.98715	1.07681	24.0463	bPAR	bPAR	NON	9.36855	A1
MvSl-1064-A1-R4_A1g00035	0	0.00696	0.00001	0.01759	0	bPAR	bPAR	NON	5.32011	A1
MvSl-1064-A1-R4_A1g00036	0.00005	0	0.04728	0.01024	0.00105753	bPAR	bPAR	NON	5.33338	A1
MvSl-1064-A1-R4_A1g00037	23.36975	33.86409	2.56643	3.14996	9.10594	bPAR	bPAR	NON	4.79601	A1
MvSl-1064-A1-R4_A1g00039	2.34686	1.85969	2.58599	2.52238	0.907529	bPAR	bPAR	NON	8.25173	A1
