Haploid	Gene	Genomicloc	intronnr	intronmean	introntotal	intronnrdiff	intronmeandiff	introntotaldiff	genelength	intronnrovergenelength	intronovergenelength
A1	MvSl-1064-A1-R4_A1g00002	bPAR	1	0	0	0	0	0	294	0.003401361	0
A1	MvSl-1064-A1-R4_A1g00003	bPAR	4	125.5	502	0	-143.75	-575	4405	0.000908059	0.113961407
A1	MvSl-1064-A1-R4_A1g00004	bPAR	4	75.25	301	0	0.25	1	2185	0.001830664	0.137757437
A1	MvSl-1064-A1-R4_A1g00005	bPAR	1	0	0	0	0	0	822	0.001216545	0
A1	MvSl-1064-A1-R4_A1g00006	bPAR	3	308.333	925	0	0	0	1342	0.002235469	0.689269747
A1	MvSl-1064-A1-R4_A1g00007	bPAR	5	103.2	516	0	0	0	3522	0.001419648	0.146507666
A1	MvSl-1064-A1-R4_A1g00008	bPAR	3	85	255	0	0	0	1923	0.001560062	0.132605304
A1	MvSl-1064-A1-R4_A1g00009	bPAR	2	121.5	243	0	0	0	1383	0.001446132	0.175704989
A1	MvSl-1064-A1-R4_A1g00010	bPAR	4	152.75	611	0	0	0	1625	0.002461538	0.376
A1	MvSl-1064-A1-R4_A1g00011	bPAR	2	67.5	135	0	0	0	678	0.002949853	0.199115044
A1	MvSl-1064-A1-R4_A1g00013	bPAR	6	75.6667	454	0	0	0	2155	0.002784223	0.210672854
A1	MvSl-1064-A1-R4_A1g00014	bPAR	3	74	222	0	0	0	672	0.004464286	0.330357143
A1	MvSl-1064-A1-R4_A1g00015	bPAR	2	42	84	0	0	0	849	0.002355713	0.098939929
A1	MvSl-1064-A1-R4_A1g00016	bPAR	1	0	0	0	0	0	168	0.005952381	0
A1	MvSl-1064-A1-R4_A1g00017	bPAR	8	87.375	699	0	0	0	2331	0.003432003	0.2998713
A1	MvSl-1064-A1-R4_A1g00018	bPAR	1	70	70	0	0	0	295	0.003389831	0.237288136
A1	MvSl-1064-A1-R4_A1g00019	bPAR	3	216.667	650	0	0	0	1436	0.002089136	0.45264624
A1	MvSl-1064-A1-R4_A1g00020	bPAR	1	0	0	0	0	0	276	0.003623188	0
A1	MvSl-1064-A1-R4_A1g00021	bPAR	1	142	142	0	0	0	352	0.002840909	0.403409091
A1	MvSl-1064-A1-R4_A1g00022	bPAR	2	59.5	119	0	0	0	656	0.00304878	0.181402439
A1	MvSl-1064-A1-R4_A1g00023	bPAR	4	203	812	0	0	0	2126	0.001881468	0.381937912
A1	MvSl-1064-A1-R4_A1g00024	bPAR	3	98	294	0	0	0	906	0.003311258	0.324503311
A1	MvSl-1064-A1-R4_A1g00025	bPAR	7	87.7143	614	0	0	0	2237	0.003129191	0.274474743
A1	MvSl-1064-A1-R4_A1g00026	bPAR	13	92.1538	1198	0	0	0	5416	0.002400295	0.221196455
A1	MvSl-1064-A1-R4_A1g00027	bPAR	1	0	0	0	0	0	942	0.001061571	0
