gid	chr	chr1	intronnr	intronmean	introntotal	intronnrdiff	intronmeandiff	introntotaldiff	logFC.A1.A2	FDR.A1.A2	A1_1	A1_2	A2_1	A2_2	DE_status	DE_status2	A1_mean	A2_mean	A2genes	GC0A1	GC0A2	Godiff
MvSl-1064-A1-R4_A1g00326	faBlack	NRR	1	0	0	0	0	0	-12.52043259	3.75E-68	-3.357020002	-3.357020002	5.035351226	5.287803045	DE	Down	-3.35702	5.16158	MvSl-1064-A2-R4_A2g00819	56.68	55.96	0.72
MvSl-1064-A1-R4_MC01-1g02916	aAutosome	aAutosome	2	109	218	0	0	0	-10.9138206	2.18E-26	-3.357020002	-3.357020002	2.805916761	4.064029716	DE	Down	-3.35702	3.43497	MvSl-1064-A2-R4_MC01g03201	60.46	60.46	0
MvSl-1064-A1-R4_MC01-1g02885	aAutosome	aAutosome	5	142.6	713	0	0	0	-9.036583209	1.29E-16	-3.357020002	-3.357020002	1.616276656	1.817132358	DE	Down	-3.35702	1.7167	MvSl-1064-A2-R4_MC01g03167	59.68	59.68	0
MvSl-1064-A1-R4_MC01-2g03006	aAutosome	aAutosome	1	0	0	0	0	0	-7.962724399	1.09E-45	-2.292558678	-2.745346744	4.251613754	4.548176599	DE	Down	-2.51895	4.3999	MvSl-1064-A2-R4_MC01g03288	56.99	56.99	0
MvSl-1064-A1-R4_MC15g12148	aAutosome	aAutosome	2	85	170	0	0	0	-6.841667516	1.13E-15	-2.728764869	-3.357020002	1.658626442	2.149732527	DE	Down	-3.04289	1.90418	MvSl-1064-A2-R4_MC15g12398	51.17	51.17	0
MvSl-1064-A1-R4_MC01-2g02970	aAutosome	aAutosome	1	222	222	0	0	0	-6.834404007	1.48E-49	-0.246035122	-0.287932128	5.704755765	6.86810569	DE	Down	-0.266984	6.28643	MvSl-1064-A2-R4_MC01g03252	57.94	57.94	0
MvSl-1064-A1-R4_MC04-1g05832	aAutosome	aAutosome	3	105.333	316	0	0	0	-6.360765044	4.87E-08	0.515056251	-3.357020002	4.039638425	6.55140605	DE	Down	-1.42098	5.29552	MvSl-1064-A2-R4_MC04-1g06108	52.49	52.49	0
MvSl-1064-A1-R4_A1g01282	faBlack	NRR	3	115	345	0	0.667	2	-6.176567113	4.94E-28	-1.958076874	-2.317137056	3.322926294	3.323477676	DE	Down	-2.13761	3.3232	MvSl-1064-A2-R4_A2g00349	52.15	52.3	-0.15
MvSl-1064-A1-R4_MC04-1g05292	aAutosome	aAutosome	1	0	0	0	0	0	-5.894656342	1.64E-75	2.290078551	2.094865753	7.629762849	8.393113044	DE	Down	2.19247	8.01144	MvSl-1064-A2-R4_MC04-1g05569	52.48	52.48	0
MvSl-1064-A1-R4_MC09-2g09067	aAutosome	aAutosome	5	87.2	436	0	0	0	-5.754218814	9.63E-38	0.004299929	-0.589718073	4.835264594	5.688796353	DE	Down	-0.292709	5.26203	MvSl-1064-A2-R4_MC09g09342	58.18	58.18	0
