a2	GC3a2	A1gene	GC3a1	GC3diff	chr	chr1	intronnr	intronmean	introntotal	intronnrdiff	intronmeandiff	introntotaldiff	logFC.A1.A2	FDR.A1.A2	A1_1	A1_2	A2_1	A2_2	DE_status	DE_status2	A1_mean	A2_mean	GC0A1	GC0A2	Godiff
MvSl-1064-A2-R4_A2g00002	67.35	MvSl-1064-A1-R4_A1g00002	67.35	0	bPAR	bPAR	1	0	0	0	0	0	-0.102083278	0.999958419	4.672522552	4.400779395	4.734927104	4.548176599	NON	NON	4.53665	4.64155	58.84	58.84	0
MvSl-1064-A2-R4_A2g00004	60.35	MvSl-1064-A1-R4_A1g00004	60.35	0	bPAR	bPAR	4	75.25	301	0	0.25	1	-0.092774478	0.999958419	6.322613736	6.244150331	6.346628192	6.405879306	NON	NON	6.28338	6.37625	56.53	56.53	0
MvSl-1064-A2-R4_A2g00005	58.76	MvSl-1064-A1-R4_A1g00005	58.76	0	bPAR	bPAR	1	0	0	0	0	0	-0.059029749	0.999958419	5.794052874	5.973029683	6.025132572	5.860829944	NON	NON	5.88354	5.94298	53.16	53.16	0
MvSl-1064-A2-R4_A2g00006	74.82	MvSl-1064-A1-R4_A1g00006	74.82	0	bPAR	bPAR	3	308.333	925	0	0	0	0.008686399	0.999958419	7.331307728	7.535010758	7.485395252	7.368424573	NON	NON	7.43316	7.42691	59.23	59.23	0
MvSl-1064-A2-R4_A2g00007	58.28	MvSl-1064-A1-R4_A1g00007	58.28	0	bPAR	bPAR	5	103.2	516	0	0	0	0.210262502	0.945084766	7.715259214	7.89718937	7.611350788	7.586415163	NON	NON	7.80622	7.59888	56.55	56.55	0
MvSl-1064-A2-R4_A2g00008	61.87	MvSl-1064-A1-R4_A1g00008	61.87	0	bPAR	bPAR	3	85	255	0	0	0	0.432991252	0.659023586	7.567144073	8.118516847	7.724074711	7.076313012	NON	NON	7.84283	7.40019	58.87	58.87	0
MvSl-1064-A2-R4_A2g00009	65.53	MvSl-1064-A1-R4_A1g00009	65.53	0	bPAR	bPAR	2	121.5	243	0	0	0	0.706101624	0.18623183	7.295073378	8.162255044	7.297162385	6.841342334	NON	NON	7.72866	7.06925	59.21	59.21	0
MvSl-1064-A2-R4_A2g00010	62.72	MvSl-1064-A1-R4_A1g00010	62.72	0	bPAR	bPAR	4	152.75	611	0	0	0	0.529466874	0.797923637	1.809873885	2.448147656	1.719907663	1.573184558	NON	NON	2.12901	1.64655	56.02	56.02	0
MvSl-1064-A2-R4_A2g00011	60.22	MvSl-1064-A1-R4_A1g00011	60.22	0	bPAR	bPAR	2	67.5	135	0	0	0	0.617651921	0.779702416	1.048338907	2.005110088	1.075095065	0.944787738	NON	NON	1.52672	1.00994	54.51	54.51	0
MvSl-1064-A2-R4_A2g00013	66.14	MvSl-1064-A1-R4_A1g00013	66.14	0	bPAR	bPAR	6	75.6667	454	0	0	0	0.051676877	0.999958419	6.165570737	6.087879102	6.078750701	6.072467594	NON	NON	6.12672	6.07561	55.97	55.97	0
MvSl-1064-A2-R4_A2g00014	61.33	MvSl-1064-A1-R4_A1g00014	61.33	0	bPAR	bPAR	3	74	222	0	0	0	-0.536342383	0.887058954	1.318584197	2.578332886	2.99131637	2.089065632	NON	NON	1.94846	2.54019	52.44	52.44	0
MvSl-1064-A2-R4_A2g00015	57.65	MvSl-1064-A1-R4_A1g00015	57.65	0	bPAR	bPAR	2	42	84	0	0	0	-0.530987916	0.929495059	1.349065323	3.078290666	3.322926294	2.538025715	NON	NON	2.21368	2.93048	53.59	53.59	0
MvSl-1064-A2-R4_A2g00016	57.14	MvSl-1064-A1-R4_A1g00016	57.14	0	bPAR	bPAR	1	0	0	0	0	0	0.541950925	0.943680004	0.217552452	0.761418038	0.41202747	-0.532256666	NON	NON	0.489485	-0.0601146	57.74	57.74	0
MvSl-1064-A2-R4_A2g00017	67.65	MvSl-1064-A1-R4_A1g00017	67.65	0	bPAR	bPAR	8	87.375	699	0	0	0	-0.889547079	0.448778782	0.282163865	0.965564	1.22353768	1.759902609	NON	NON	0.623864	1.49172	56.19	56.19	0
MvSl-1064-A2-R4_A2g00019	58.02	MvSl-1064-A1-R4_A1g00019	58.02	0	bPAR	bPAR	3	216.667	650	0	0	0	0.040083759	0.999958419	1.742584912	1.673396632	1.358121534	1.925200807	NON	NON	1.70799	1.64166	51.15	51.15	0
MvSl-1064-A2-R4_A2g00020	57.61	MvSl-1064-A1-R4_A1g00020	57.61	0	bPAR	bPAR	1	0	0	0	0	0	0.211570811	0.999958419	1.719439276	2.349481544	2.072947847	1.616815745	NON	NON	2.03446	1.84488	51.45	51.45	0
MvSl-1064-A2-R4_A2g00021	47.14	MvSl-1064-A1-R4_A1g00021	47.14	0	bPAR	bPAR	1	142	142	0	0	0	1.514094485	7.51E-08	5.839041376	5.457895284	4.191586542	4.110555238	DE	Up	5.64847	4.15107	53.81	53.81	0
MvSl-1064-A2-R4_A2g00023	60.05	MvSl-1064-A1-R4_A1g00023	60.05	0	bPAR	bPAR	4	203	812	0	0	0	0.460352738	0.931558814	1.287445144	1.11033882	0.874104747	0.641031669	NON	NON	1.19889	0.757568	54.79	54.79	0
MvSl-1064-A2-R4_A2g00025	68.39	MvSl-1064-A1-R4_A1g00025	68.39	0	bPAR	bPAR	7	87.7143	614	0	0	0	-0.216576115	0.999958419	1.189780108	0.238559882	0.640509712	1.279421104	NON	NON	0.71417	0.959965	52.56	52.56	0
MvSl-1064-A2-R4_A2g00026	60.67	MvSl-1064-A1-R4_A1g00026	60.67	0	bPAR	bPAR	13	92.1538	1198	0	0	0	-0.188268234	0.999958419	5.709946999	5.300788632	5.504536681	5.88556626	NON	NON	5.50537	5.69505	55.03	55.03	0
MvSl-1064-A2-R4_A2g00027	71.34	MvSl-1064-A1-R4_A1g00027	71.34	0	bPAR	bPAR	1	0	0	0	0	0	-0.137248026	0.999958419	1.255619132	1.391091799	1.305784732	1.595165087	NON	NON	1.32336	1.45047	56.9	56.9	0
MvSl-1064-A2-R4_A2g00028	55.36	MvSl-1064-A1-R4_A1g00028	55.36	0	bPAR	bPAR	3	56.6667	170	0	0	0	-0.69499053	0.288975641	2.789653266	3.069461083	3.640717654	3.609225091	NON	NON	2.92956	3.62497	54.37	54.37	0
MvSl-1064-A2-R4_A2g00029	57.89	MvSl-1064-A1-R4_A1g00029	57.89	0	bPAR	bPAR	2	77	154	0	0	0	1.067582076	0.10964503	2.158583424	2.0596307	1.136316797	1.011689625	NON	NON	2.10911	1.074	50.29	50.29	0
MvSl-1064-A2-R4_A2g00030	56.1	MvSl-1064-A1-R4_A1g00030	56.1	0	bPAR	bPAR	1	85	85	0	0	0	0.185886544	0.976804264	5.626865818	5.718702531	5.520412246	5.45488786	NON	NON	5.67278	5.48765	52.3	52.3	0
MvSl-1064-A2-R4_A2g00031	57.99	MvSl-1064-A1-R4_A1g00031	57.99	0	bPAR	bPAR	7	93.5714	655	0	0.1428	1	-0.118574157	0.999958419	4.48281534	4.657998243	4.408748092	4.927466109	NON	NON	4.57041	4.66811	51.72	51.72	0
MvSl-1064-A2-R4_A2g00032	62.55	MvSl-1064-A1-R4_A1g00032	62.55	0	bPAR	bPAR	12	93.6667	1124	0	0	0	0.061240754	0.999958419	9.348441402	9.388661784	9.347744848	9.266018651	NON	NON	9.36855	9.30688	59.14	59.14	0
MvSl-1064-A2-R4_A2g00033	66.67	MvSl-1064-A1-R4_A1g00033	66.67	0	bPAR	bPAR	3	51.6667	155	0	0	0	-0.284616013	0.882867969	4.433885895	4.459406433	4.707452897	4.752696941	NON	NON	4.44665	4.73007	56.8	56.8	0
MvSl-1064-A2-R4_A2g00035	60.61	MvSl-1064-A1-R4_A1g00035	60.61	0	bPAR	bPAR	1	0	0	0	0	0	0.425650311	0.529848335	5.244539252	5.395677707	4.994602318	4.793669164	NON	NON	5.32011	4.89414	54.47	54.47	0
MvSl-1064-A2-R4_A2g00036	61.81	MvSl-1064-A1-R4_A1g00036	61.81	0	bPAR	bPAR	3	93	279	0	0	0	0.003551398	0.999958419	5.319569804	5.347187874	5.34349777	5.316202274	NON	NON	5.33338	5.32985	56.87	56.87	0
MvSl-1064-A2-R4_A2g00037	58.49	MvSl-1064-A1-R4_A1g00037	58.49	0	bPAR	bPAR	2	85.5	171	0	0	0	0.137660032	0.999958419	4.887651657	4.704363765	4.544802349	4.769709008	NON	NON	4.79601	4.65726	53.08	53.08	0
MvSl-1064-A2-R4_A2g00039	66.34	MvSl-1064-A1-R4_A1g00039	66.34	0	bPAR	bPAR	12	90.0833	1081	0	0	0	0.295471116	0.830462169	8.183521926	8.319933404	8.093439576	7.808457943	NON	NON	8.25173	7.95095	54.08	54.08	0
MvSl-1064-A2-R4_A2g00040	64.54	MvSl-1064-A1-R4_A1g00040	64.54	0	bPAR	bPAR	7	87.5714	613	0	0	0	-0.153782551	0.999958419	1.010700459	1.241901245	1.195045959	1.358657151	NON	NON	1.1263	1.27685	52.35	52.35	0
