Gene	Genomicloc	intronnra1	intronmeana1	introntotala1	Genea2	intronnra2	intronmeana2	introntotala2	intronnrdiff	intronmeandiff	introntotaldiff	genea1v	loc	start	end	Logfc
MvSl-1064-A1-R4_A1g00021	PAR	1	142	142	MvSl-1064-A2-R4_A2g00021	1	142	142	0	0	0	MvSl-1064-A1-R4_A1g00021	MvSl-1064-A1-R4_A1	aMAT	39845	40120	1.51409448514308
MvSl-1064-A1-R4_A1g00079	PAR	10	83.6	836	MvSl-1064-A2-R4_A2g00079	10	83.5	835	0	0.1	1	MvSl-1064-A1-R4_A1g00079	MvSl-1064-A1-R4_A1	aMAT	179366	179827	1.64719802954929
MvSl-1064-A1-R4_A1g00080	PAR	3	92	276	MvSl-1064-A2-R4_A2g00080	3	92	276	0	0	0	MvSl-1064-A1-R4_A1g00080	MvSl-1064-A1-R4_A1	aMAT	180716	185718	1.36180363566686
MvSl-1064-A1-R4_A1g00081	Black	8	84	672	MvSl-1064-A2-R4_A2g00081	8	83.75	670	0	0.25	2	MvSl-1064-A1-R4_A1g00081	MvSl-1064-A1-R4_A1	aMAT	186136	186867	2.86252310336993
MvSl-1064-A1-R4_A1g00107	Black	11	89	979	MvSl-1064-A2-R4_A2g00117	11	89	979	0	0	0	MvSl-1064-A1-R4_A1g00107	MvSl-1064-A1-R4_A1	aMAT	220047	220241	2.47124817063347
MvSl-1064-A1-R4_A1g00154	Black	1	127	127	MvSl-1064-A2-R4_A2g01432	1	124	124	0	3	3	MvSl-1064-A1-R4_A1g00154	MvSl-1064-A1-R4_A1	aMAT	2575916	2576612	1.19990710717855
MvSl-1064-A1-R4_A1g00163	Black	1	56	56	MvSl-1064-A2-R4_A2g01041	1	56	56	0	0	0	MvSl-1064-A1-R4_A1g00163	MvSl-1064-A1-R4_A1	aMAT	1648933	1652928	2.30698618271007
MvSl-1064-A1-R4_A1g00165	Black	6	82.8333	497	MvSl-1064-A2-R4_A2g00290	6	85.3333	512	0	-2.5	-15	MvSl-1064-A1-R4_A1g00165	MvSl-1064-A1-R4_A1	aMAT	621126	622892	0.648642331575889
MvSl-1064-A1-R4_A1g00209	Black	3	204.667	614	MvSl-1064-A2-R4_A2g00160	1	61	61	2	143.667	553	MvSl-1064-A1-R4_A1g00209	MvSl-1064-A1-R4_A1	aMAT	380085	382864	1.27524512195404
MvSl-1064-A1-R4_A1g00254	Black	3	73	219	MvSl-1064-A2-R4_A2g00300	3	72.6667	218	0	0.3333	1	MvSl-1064-A1-R4_A1g00254	MvSl-1064-A1-R4_A1	aMAT	667810	671393	1.93412253005848
MvSl-1064-A1-R4_A1g00270	Black	3	208	624	MvSl-1064-A2-R4_A2g00647	3	209	627	0	-1	-3	MvSl-1064-A1-R4_A1g00270	MvSl-1064-A1-R4_A1	aMAT	1111101	1112366	1.14658198215634
MvSl-1064-A1-R4_A1g00292	Black	8	90.125	721	MvSl-1064-A2-R4_A2g00711	8	90	720	0	0.125	1	MvSl-1064-A1-R4_A1g00292	MvSl-1064-A1-R4_A1	aMAT	1132727	1134319	0.909844551093575
MvSl-1064-A1-R4_A1g00312	Black	1	118	118	MvSl-1064-A2-R4_A2g00914	1	120	120	0	-2	-2	MvSl-1064-A1-R4_A1g00312	MvSl-1064-A1-R4_A1	aMAT	1393224	1396199	3.50629370671791
MvSl-1064-A1-R4_A1g00400	Red	7	91.2857	639	MvSl-1064-A2-R4_A2g00370	7	90.8571	636	0	0.4286	3	MvSl-1064-A1-R4_A1g00400	MvSl-1064-A1-R4_A1	aMAT	852461	853825	1.0720200361893
MvSl-1064-A1-R4_A1g00495	Blue	2	144.5	289	MvSl-1064-A2-R4_A2g01715	2	78.5	157	0	66	132	MvSl-1064-A1-R4_A1g00495	MvSl-1064-A1-R4_A1	aMAT	3171155	3174630	2.06770355586782
MvSl-1064-A1-R4_A1g00516	Black	6	131.5	789	MvSl-1064-A2-R4_A2g01504	5	136	680	1	-4.5	109	MvSl-1064-A1-R4_A1g00516	MvSl-1064-A1-R4_A1	aMAT	2618847	2620704	0.995708514690732
MvSl-1064-A1-R4_A1g00522	Black	6	84.6667	508	MvSl-1064-A2-R4_A2g00889	6	82.6667	496	0	2	12	MvSl-1064-A1-R4_A1g00522	MvSl-1064-A1-R4_A1	aMAT	1378554	1381105	4.65808951563058
MvSl-1064-A1-R4_A1g00594	Black	3	102.333	307	MvSl-1064-A2-R4_A2g00575	4	73	292	-1	29.333	15	MvSl-1064-A1-R4_A1g00594	MvSl-1064-A1-R4_A1	aMAT	1017072	1017508	1.18899212520619
