gid	chr	intronnr	intronmean	introntotal	intronnrdiff	intronmeandiff	introntotaldiff	logFC.A1.A2	DE_status	A1_mean	A2_mean
MvSl-1064-A1-R4_A1g00002	bPAR	1	0	0	0	0	0	-0.102083278	NON	4.53665	4.64155
MvSl-1064-A1-R4_A1g00003	bPAR	4	125.5	502	0	-143.75	-575	0.871198494	NON	5.47933	4.53359
MvSl-1064-A1-R4_A1g00004	bPAR	4	75.25	301	0	0.25	1	-0.092774478	NON	6.28338	6.37625
MvSl-1064-A1-R4_A1g00005	bPAR	1	0	0	0	0	0	-0.059029749	NON	5.88354	5.94298
MvSl-1064-A1-R4_A1g00006	bPAR	3	308.333	925	0	0	0	0.008686399	NON	7.43316	7.42691
MvSl-1064-A1-R4_A1g00007	bPAR	5	103.2	516	0	0	0	0.210262502	NON	7.80622	7.59888
MvSl-1064-A1-R4_A1g00008	bPAR	3	85	255	0	0	0	0.432991252	NON	7.84283	7.40019
MvSl-1064-A1-R4_A1g00009	bPAR	2	121.5	243	0	0	0	0.706101624	NON	7.72866	7.06925
MvSl-1064-A1-R4_A1g00010	bPAR	4	152.75	611	0	0	0	0.529466874	NON	2.12901	1.64655
MvSl-1064-A1-R4_A1g00011	bPAR	2	67.5	135	0	0	0	0.617651921	NON	1.52672	1.00994
MvSl-1064-A1-R4_A1g00013	bPAR	6	75.6667	454	0	0	0	0.051676877	NON	6.12672	6.07561
MvSl-1064-A1-R4_A1g00014	bPAR	3	74	222	0	0	0	-0.536342383	NON	1.94846	2.54019
MvSl-1064-A1-R4_A1g00015	bPAR	2	42	84	0	0	0	-0.530987916	NON	2.21368	2.93048
MvSl-1064-A1-R4_A1g00016	bPAR	1	0	0	0	0	0	0.541950925	NON	0.489485	-0.0601146
MvSl-1064-A1-R4_A1g00017	bPAR	8	87.375	699	0	0	0	-0.889547079	NON	0.623864	1.49172
MvSl-1064-A1-R4_A1g00019	bPAR	3	216.667	650	0	0	0	0.040083759	NON	1.70799	1.64166
MvSl-1064-A1-R4_A1g00020	bPAR	1	0	0	0	0	0	0.211570811	NON	2.03446	1.84488
MvSl-1064-A1-R4_A1g00021	bPAR	1	142	142	0	0	0	1.514094485	DE	5.64847	4.15107
MvSl-1064-A1-R4_A1g00023	bPAR	4	203	812	0	0	0	0.460352738	NON	1.19889	0.757568
MvSl-1064-A1-R4_A1g00025	bPAR	7	87.7143	614	0	0	0	-0.216576115	NON	0.71417	0.959965
MvSl-1064-A1-R4_A1g00026	bPAR	13	92.1538	1198	0	0	0	-0.188268234	NON	5.50537	5.69505
MvSl-1064-A1-R4_A1g00027	bPAR	1	0	0	0	0	0	-0.137248026	NON	1.32336	1.45047
MvSl-1064-A1-R4_A1g00028	bPAR	3	56.6667	170	0	0	0	-0.69499053	NON	2.92956	3.62497
MvSl-1064-A1-R4_A1g00029	bPAR	2	77	154	0	0	0	1.067582076	NON	2.10911	1.074
MvSl-1064-A1-R4_A1g00030	bPAR	1	85	85	0	0	0	0.185886544	NON	5.67278	5.48765
MvSl-1064-A1-R4_A1g00031	bPAR	7	93.5714	655	0	0.1428	1	-0.118574157	NON	4.57041	4.66811
MvSl-1064-A1-R4_A1g00032	bPAR	12	93.6667	1124	0	0	0	0.061240754	NON	9.36855	9.30688
MvSl-1064-A1-R4_A1g00033	bPAR	3	51.6667	155	0	0	0	-0.284616013	NON	4.44665	4.73007
MvSl-1064-A1-R4_A1g00035	bPAR	1	0	0	0	0	0	0.425650311	NON	5.32011	4.89414
MvSl-1064-A1-R4_A1g00036	bPAR	3	93	279	0	0	0	0.003551398	NON	5.33338	5.32985
MvSl-1064-A1-R4_A1g00037	bPAR	2	85.5	171	0	0	0	0.137660032	NON	4.79601	4.65726
MvSl-1064-A1-R4_A1g00039	bPAR	12	90.0833	1081	0	0	0	0.295471116	NON	8.25173	7.95095
MvSl-1064-A1-R4_A1g00040	bPAR	7	87.5714	613	0	0	0	-0.153782551	NON	1.1263	1.27685
MvSl-1064-A1-R4_A1g00046	bPAR	7	83.1429	582	0	0	0	0.172808324	NON	3.98661	3.8159
MvSl-1064-A1-R4_A1g00047	bPAR	5	74	370	0	0	0	0.101448809	NON	5.03772	4.94039
MvSl-1064-A1-R4_A1g00048	bPAR	1	0	0	0	0	0	0.007485268	NON	4.8138	4.8064
MvSl-1064-A1-R4_A1g00049	bPAR	7	79.1429	554	0	0	0	0.016501789	NON	5.34395	5.32019
MvSl-1064-A1-R4_A1g00050	bPAR	3	72.6667	218	0	0	0	-0.305565903	NON	5.25409	5.64667
MvSl-1064-A1-R4_A1g00051	bPAR	4	85	340	0	0	0	0.525224843	NON	7.06914	6.55226
MvSl-1064-A1-R4_A1g00052	bPAR	1	180	180	0	0	0	-0.24696277	NON	1.03456	1.20126
MvSl-1064-A1-R4_A1g00053	bPAR	5	71.4	357	0	0	0	0.092722371	NON	6.61109	6.51858
MvSl-1064-A1-R4_A1g00054	bPAR	7	76.7143	537	0	0	0	-0.264670368	NON	2.36373	2.60084
MvSl-1064-A1-R4_A1g00055	bPAR	2	72	144	0	0	0	-0.468008418	NON	5.14162	5.60932
MvSl-1064-A1-R4_A1g00056	bPAR	6	94.6667	568	0	0	0	0.138986425	NON	8.49956	8.39114
MvSl-1064-A1-R4_A1g00057	bPAR	1	0	0	0	0	0	-0.05443888	NON	4.56746	4.63615
MvSl-1064-A1-R4_A1g00058	bPAR	1	128	128	0	0	0	0.348340275	NON	0.912933	0.59722
MvSl-1064-A1-R4_A1g00059	bPAR	1	0	0	0	0	0	0.007343101	NON	3.21855	3.26137
MvSl-1064-A1-R4_A1g00060	bPAR	5	119.8	599	0	0	0	0.159124156	NON	2.85993	2.7054
MvSl-1064-A1-R4_A1g00061	bPAR	3	100.333	301	0	0.333	1	0.162009488	NON	7.15309	6.99037
MvSl-1064-A1-R4_A1g00062	bPAR	5	129	645	0	0	0	-0.149956869	NON	6.00055	6.14781
MvSl-1064-A1-R4_A1g00063	bPAR	3	108.333	325	0	0.333	1	0.061904548	NON	5.0366	4.97508
MvSl-1064-A1-R4_A1g00064	bPAR	3	151.667	455	0	0	0	-0.174246289	NON	8.1332	8.30718
MvSl-1064-A1-R4_A1g00065	bPAR	10	81.9	819	0	0.1	1	0.256054292	NON	7.36661	7.11163
MvSl-1064-A1-R4_A1g00066	bPAR	2	73	146	0	0	0	0.031593411	NON	8.0133	7.96683
MvSl-1064-A1-R4_A1g00067	bPAR	8	105	840	0	0	0	-0.223086763	NON	1.30722	1.46678
MvSl-1064-A1-R4_A1g00068	bPAR	3	124.667	374	0	0	0	-0.392762525	NON	0.889458	1.17041
MvSl-1064-A1-R4_A1g00069	bPAR	2	98	196	0	0	0	-0.260923672	NON	5.81618	6.08155
MvSl-1064-A1-R4_A1g00070	bPAR	1	84	84	0	0	0	0.338336875	NON	7.39862	7.05896
MvSl-1064-A1-R4_A1g00071	bPAR	4	97.5	390	0	0	0	0.520825111	NON	4.23528	3.71799
MvSl-1064-A1-R4_A1g00072	bPAR	4	110.25	441	0	0	0	0.103669735	NON	7.81151	7.72702
MvSl-1064-A1-R4_A1g00073	bPAR	3	107.667	323	0	0	0	-0.80991947	DE	4.57478	5.39692
MvSl-1064-A1-R4_A1g00074	bPAR	10	124.3	1243	0	0	0	0.569611229	NON	8.9551	8.40566
MvSl-1064-A1-R4_A1g00076	bPAR	1	125	125	0	0	0	-0.042967715	NON	7.07177	7.11619
MvSl-1064-A1-R4_A1g00077	bPAR	1	93	93	0	0	0	0.049928904	NON	6.59561	6.54348
MvSl-1064-A1-R4_A1g00078	bPAR	1	0	0	0	0	0	0.994579566	DE	7.5136	6.49223
MvSl-1064-A1-R4_A1g00079	bPAR	10	83.6	836	0	0.1	1	1.64719803	DE	6.20536	4.58466
MvSl-1064-A1-R4_A1g00080	bPAR	3	92	276	0	0	0	1.361803636	DE	6.03296	4.68206
MvSl-1064-A1-R4_A1g00081	faBlack	8	84	672	0	0.25	2	2.862523103	DE	6.31169	3.46315
