haploid	location	with_TE	interval_TE	TE_total	TE_interval	totalgene	prop_withte	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17								
A1	centerplus1k				5357			10009	828	689	312	203	96	62	18	25	12	7	2	1	1	0	0	0									
A1	upstream5k	3593	3593	7062	1705	12266	0.292923528	8673	1714	986	521	192	99	45	19	10	4	2	1	0	0	0	0	0									
A1	upstream10k	4446	853	10530	3468	12266	0.069541823	7820	1852	1096	669	340	212	102	78	53	29	7	4	4	2	2	0	0									
A1	upstream15k	5131	685	13846	3316	12266	0.055845426	7135	1950	1156	768	450	296	164	106	83	62	48	27	7	8	4	1	1									
A1	upstream20k	5741	610	17115	3269	12266	0.049730964	6525	2038	1235	842	513	357	221	142	115	70	67	58	37	20	15	8	2									
A1	downstream5k	3626	3626	7117	1760	12266	0.295613892	8640	1748	976	516	208	97	39	30	5	2	5	0	0	0	0	0	0									
A1	downstream10k	4479	853	10604	3487	12266	0.069541823	7787	1852	1101	669	350	240	106	63	55	19	14	7	1	2	0	0	0									
A1	downstream15k	5170	691	14073	3469	12266	0.056334583	7096	1941	1158	759	454	323	193	117	80	59	35	24	10	12	5	0	0									
A1	downstream20k	5790	620	17495	3386	12266	0.050546225	6476	2037	1216	840	501	403	232	178	104	85	61	47	31	28	19	6	1	1	0							
A2	centerplus1k				5054			10233	962	702	256	168	80	58	11	23	11	7	3	0	1	0	1	0	0								
A2	upstream5k	3728	3728	10704	10704	12516	0.297858741	8788	1071	1051	558	439	232	158	65	57	27	34	13	17	7	0	3	1	0								
A2	upstream10k	4612	884	15538	4834	12516	0.070629594	7904	1126	1139	645	572	349	264	166	131	54	53	32	37	17	12	5	6	0								
A2	upstream15k	5325	635	20636	5098	12516	0.050735059	7191	1194	1141	681	644	447	351	220	205	107	89	62	60	40	30	24	11	4	7	5	0					
A2	upstream20k	5960	635	25546	4910	12516	0.050735059	6556	1229	1228	698	702	455	438	319	239	135	109	63	86	75	59	41	22	12	18	14	7	3	1	2	2	0
A2	downstream5k	3791	3791	10875	10875	12516	0.302892298	8725	1102	1043	567	421	267	156	76	58	38	31	12	9	4	0	5	1	0								
A2	downstream10k	4667	876	15994	5119	12516	0.069990412	7849	1126	1091	666	590	391	265	171	137	58	60	32	36	18	9	6	4	2	2	0						
A2	downstream15k	5392	725	21065	5071	12516	0.057925855	7124	1179	1137	671	660	492	352	246	219	107	87	61	62	39	29	20	10	4	6	4	2	0				
A2	downstream20k	6033	641	26083	5018	12516	0.051214446	6483	1240	1200	687	674	533	448	322	247	161	127	82	70	56	54	45	33	16	13	8	3	7	2	2	0	
																																	
A1	0k			5357				10009	828	689	312	203	96	62	18	25	12	7	2	1	1	0	0	0									
A2	0k			5045				10233	962	702	256	168	80	58	11	23	11	7	3	0	1	0	1	0	0								
